TOP.6a3d751f.0009cc92	START
TOP.6a3d7b79.00013dda	user_options->bitmap_max	18
TOP.6a3d7b79.00013dda	user_options->bitmap_min	16
TOP.6a3d7b79.00013dda	user_options->debug_mode	0
TOP.6a3d7b79.00013dda	user_options->dynamic_x	0
TOP.6a3d7b79.00013dda	user_options->hash_info	0
TOP.6a3d7b79.00013dda	user_options->force	0
TOP.6a3d7b79.00013dda	user_options->hwmon	1
TOP.6a3d7b79.00013dda	user_options->hwmon_temp_abort	90
TOP.6a3d7b79.00013dda	user_options->hash_mode	22000
TOP.6a3d7b79.00013dda	user_options->hex_charset	0
TOP.6a3d7b79.00013dda	user_options->hex_salt	0
TOP.6a3d7b79.00013dda	user_options->hex_wordlist	0
TOP.6a3d7b79.00013dda	user_options->hook_threads	12
TOP.6a3d7b79.00013dda	user_options->identify	0
TOP.6a3d7b79.00013dda	user_options->increment	0
TOP.6a3d7b79.00013dda	user_options->increment_max	256
TOP.6a3d7b79.00013dda	user_options->increment_min	1
TOP.6a3d7b79.00013dda	user_options->keep_guessing	0
TOP.6a3d7b79.00013dda	user_options->kernel_accel	0
TOP.6a3d7b79.00013dda	user_options->kernel_loops	0
TOP.6a3d7b79.00013dda	user_options->kernel_threads	0
TOP.6a3d7b79.00013dda	user_options->keyspace	0
TOP.6a3d7b79.00013dda	user_options->total_candidates	0
TOP.6a3d7b79.00013dda	user_options->left	0
TOP.6a3d7b79.00013dda	user_options->logfile	1
TOP.6a3d7b79.00013dda	user_options->loopback	0
TOP.6a3d7b79.00013dda	user_options->machine_readable	0
TOP.6a3d7b79.00013dda	user_options->markov_classic	0
TOP.6a3d7b79.00013dda	user_options->markov	1
TOP.6a3d7b79.00013dda	user_options->markov_inverse	0
TOP.6a3d7b79.00013dda	user_options->markov_threshold	256
TOP.6a3d7b79.00013dda	user_options->metal_compiler_runtime	120
TOP.6a3d7b79.00013dda	user_options->multiply_accel	1
TOP.6a3d7b79.00013dda	user_options->backend_info	0
TOP.6a3d7b79.00013dda	user_options->backend_vector_width	0
TOP.6a3d7b79.00013dda	user_options->optimized_kernel	0
TOP.6a3d7b79.00013dda	user_options->outfile_autohex	1
TOP.6a3d7b79.00013dda	user_options->outfile_check_timer	5
TOP.6a3d7b79.00013dda	user_options->outfile_format	3
TOP.6a3d7b79.00013dda	user_options->outfile_json	0
TOP.6a3d7b79.00013dda	user_options->wordlist_autohex	1
TOP.6a3d7b79.00013dda	user_options->potfile	1
TOP.6a3d7b79.00013dda	user_options->progress_only	0
TOP.6a3d7b79.00013dda	user_options->quiet	0
TOP.6a3d7b79.00013dda	user_options->remove	0
TOP.6a3d7b79.00013dda	user_options->remove_timer	60
TOP.6a3d7b79.00013dda	user_options->restore	0
TOP.6a3d7b79.00013dda	user_options->restore_enable	1
TOP.6a3d7b79.00013dda	user_options->restore_timer	1
TOP.6a3d7b79.00013dda	user_options->rp_files_cnt	0
TOP.6a3d7b79.00013dda	user_options->rp_gen	0
TOP.6a3d7b79.00013dda	user_options->rp_gen_func_max	4
TOP.6a3d7b79.00013dda	user_options->rp_gen_func_min	1
TOP.6a3d7b79.00013dda	user_options->rp_gen_seed	0
TOP.6a3d7b79.00013dda	user_options->runtime	0
TOP.6a3d7b79.00013dda	user_options->scrypt_tmto	0
TOP.6a3d7b79.00013dda	user_options->segment_size	33554432
TOP.6a3d7b79.00013dda	user_options->self_test	1
TOP.6a3d7b79.00013dda	user_options->slow_candidates	0
TOP.6a3d7b79.00013dda	user_options->show	0
TOP.6a3d7b79.00013dda	user_options->speed_only	0
TOP.6a3d7b79.00013dda	user_options->spin_damp	0
TOP.6a3d7b79.00013dda	user_options->status	0
TOP.6a3d7b79.00013dda	user_options->status_json	0
TOP.6a3d7b79.00013dda	user_options->status_timer	10
TOP.6a3d7b79.00013dda	user_options->stdout_flag	0
TOP.6a3d7b79.00013dda	user_options->usage	0
TOP.6a3d7b79.00013dda	user_options->username	0
TOP.6a3d7b79.00013dda	user_options->veracrypt_pim_start	485
TOP.6a3d7b79.00013dda	user_options->veracrypt_pim_stop	485
TOP.6a3d7b79.00013dda	user_options->version	0
TOP.6a3d7b79.00013dda	user_options->workload_profile	2
TOP.6a3d7b79.00013dda	user_options->brain_client	0
TOP.6a3d7b79.00013dda	user_options->brain_client_features	2
TOP.6a3d7b79.00013dda	user_options->brain_server	0
TOP.6a3d7b79.00013dda	user_options->brain_server_timer	300
TOP.6a3d7b79.00013dda	user_options->brain_port	6863
TOP.6a3d7b79.00013dda	user_options->brain_session	0
TOP.6a3d7b79.00013dda	hashes->hashfile	136500_1782414167.hc22000
TOP.6a3d7b79.00013dda	hashes->hashlist_mode	5
TOP.6a3d7b79.00013dda	hashes->hashlist_format	0
TOP.6a3d7b79.00013dda	hashes->hashes_cnt	0
TOP.6a3d7b79.00013dda	hashes->digests_cnt	6
TOP.6a3d7b79.00013dda	hashes->digests_done_pot	1
TOP.6a3d7b79.00013dda	hashes->digests_done_zero	0
TOP.6a3d7b79.00013dda	hashes->digests_done	1
TOP.6a3d7b79.00013dda	hashes->salts_cnt	4
TOP.6a3d7b79.00013dda	hashes->salts_done	1
TOP.6a3d7b79.00013dda	SUB.6a3d7b79.000eecb4	START
TOP.6a3d7b79.00013dda	SUB.6a3d7b79.000eecb4	straight_ctx->dict	rockyou.txt
TOP.6a3d7b79.00013dda	SUB.6a3d7b79.000eecb4	runtime_start	1782414202
TOP.6a3d7b79.00013dda	SUB.6a3d7b79.000eecb4	runtime_stop	1782414250
TOP.6a3d7b79.00013dda	SUB.6a3d7b79.000eecb4	hashes->digests_done_new	0
TOP.6a3d7b79.00013dda	SUB.6a3d7b79.000eecb4	status-after-work	5
TOP.6a3d7b79.00013dda	SUB.6a3d7b79.000eecb4	STOP
TOP.6a3d7b79.00013dda	SUB.6a3d7baa.00032a41	START
TOP.6a3d7b79.00013dda	SUB.6a3d7baa.00032a41	straight_ctx->dict	wordlist.txt
TOP.6a3d7b79.00013dda	SUB.6a3d7baa.00032a41	runtime_start	1782414250
TOP.6a3d7b79.00013dda	SUB.6a3d7baa.00032a41	runtime_stop	1782414250
TOP.6a3d7b79.00013dda	SUB.6a3d7baa.00032a41	hashes->digests_done_new	0
TOP.6a3d7b79.00013dda	SUB.6a3d7baa.00032a41	status-after-work	5
TOP.6a3d7b79.00013dda	SUB.6a3d7baa.00032a41	STOP
TOP.6a3d7b79.00013dda	proc_start	1782414201
TOP.6a3d7b79.00013dda	proc_stop	1782414251
TOP.6a3d7b79.00013dda	STOP
TOP.6a3d8272.0005b786	START
TOP.6a3d8272.0005b786	folder_config->cwd	D:\hashcat-7.1.2
TOP.6a3d8272.0005b786	folder_config->install_dir	.
TOP.6a3d8272.0005b786	folder_config->profile_dir	.
TOP.6a3d8272.0005b786	folder_config->session_dir	.
TOP.6a3d8272.0005b786	folder_config->shared_dir	.
TOP.6a3d8272.0005b786	user_options->encoding_from	utf-8
TOP.6a3d8272.0005b786	user_options->encoding_to	utf-8
TOP.6a3d8272.0005b786	user_options->rule_buf_l	:
TOP.6a3d8272.0005b786	user_options->rule_buf_r	:
TOP.6a3d8272.0005b786	user_options->session	hashcat
TOP.6a3d8272.0005b786	user_options->separator	:
TOP.6a3d8272.0005b786	user_options->limit	0
TOP.6a3d8272.0005b786	user_options->skip	0
TOP.6a3d8272.0005b786	user_options->attack_mode	0
TOP.6a3d8272.0005b786	user_options->backend_devices_virtmulti	1
TOP.6a3d8272.0005b786	user_options->backend_devices_virthost	1
TOP.6a3d8272.0005b786	user_options->backend_devices_keepfree	0
TOP.6a3d8272.0005b786	user_options->benchmark	0
TOP.6a3d8272.0005b786	user_options->benchmark_all	0
TOP.6a3d8272.0005b786	user_options->benchmark_max	99999
TOP.6a3d8272.0005b786	user_options->benchmark_min	0
TOP.6a3d8272.0005b786	user_options->bitmap_max	18
TOP.6a3d8272.0005b786	user_options->bitmap_min	16
TOP.6a3d8272.0005b786	user_options->debug_mode	0
TOP.6a3d8272.0005b786	user_options->dynamic_x	0
TOP.6a3d8272.0005b786	user_options->hash_info	0
TOP.6a3d8272.0005b786	user_options->force	0
TOP.6a3d8272.0005b786	user_options->hwmon	1
TOP.6a3d8272.0005b786	user_options->hwmon_temp_abort	90
TOP.6a3d8272.0005b786	user_options->hash_mode	22000
TOP.6a3d8272.0005b786	user_options->hex_charset	0
TOP.6a3d8272.0005b786	user_options->hex_salt	0
TOP.6a3d8272.0005b786	user_options->hex_wordlist	0
TOP.6a3d8272.0005b786	user_options->hook_threads	12
TOP.6a3d8272.0005b786	user_options->identify	0
TOP.6a3d8272.0005b786	user_options->increment	0
TOP.6a3d8272.0005b786	user_options->increment_max	256
TOP.6a3d8272.0005b786	user_options->increment_min	1
TOP.6a3d8272.0005b786	user_options->keep_guessing	0
TOP.6a3d8272.0005b786	user_options->kernel_accel	0
TOP.6a3d8272.0005b786	user_options->kernel_loops	0
TOP.6a3d8272.0005b786	user_options->kernel_threads	0
TOP.6a3d8272.0005b786	user_options->keyspace	0
TOP.6a3d8272.0005b786	user_options->total_candidates	0
TOP.6a3d8272.0005b786	user_options->left	0
TOP.6a3d8272.0005b786	user_options->logfile	1
TOP.6a3d8272.0005b786	user_options->loopback	0
TOP.6a3d8272.0005b786	user_options->machine_readable	0
TOP.6a3d8272.0005b786	user_options->markov_classic	0
TOP.6a3d8272.0005b786	user_options->markov	1
TOP.6a3d8272.0005b786	user_options->markov_inverse	0
TOP.6a3d8272.0005b786	user_options->markov_threshold	256
TOP.6a3d8272.0005b786	user_options->metal_compiler_runtime	120
TOP.6a3d8272.0005b786	user_options->multiply_accel	1
TOP.6a3d8272.0005b786	user_options->backend_info	0
TOP.6a3d8272.0005b786	user_options->backend_vector_width	0
TOP.6a3d8272.0005b786	user_options->optimized_kernel	0
TOP.6a3d8272.0005b786	user_options->outfile_autohex	1
TOP.6a3d8272.0005b786	user_options->outfile_check_timer	5
TOP.6a3d8272.0005b786	user_options->outfile_format	3
TOP.6a3d8272.0005b786	user_options->outfile_json	0
TOP.6a3d8272.0005b786	user_options->wordlist_autohex	1
TOP.6a3d8272.0005b786	user_options->potfile	1
TOP.6a3d8272.0005b786	user_options->progress_only	0
TOP.6a3d8272.0005b786	user_options->quiet	0
TOP.6a3d8272.0005b786	user_options->remove	0
TOP.6a3d8272.0005b786	user_options->remove_timer	60
TOP.6a3d8272.0005b786	user_options->restore	0
TOP.6a3d8272.0005b786	user_options->restore_enable	1
TOP.6a3d8272.0005b786	user_options->restore_timer	1
TOP.6a3d8272.0005b786	user_options->rp_files_cnt	0
TOP.6a3d8272.0005b786	user_options->rp_gen	0
TOP.6a3d8272.0005b786	user_options->rp_gen_func_max	4
TOP.6a3d8272.0005b786	user_options->rp_gen_func_min	1
TOP.6a3d8272.0005b786	user_options->rp_gen_seed	0
TOP.6a3d8272.0005b786	user_options->runtime	0
TOP.6a3d8272.0005b786	user_options->scrypt_tmto	0
TOP.6a3d8272.0005b786	user_options->segment_size	33554432
TOP.6a3d8272.0005b786	user_options->self_test	1
TOP.6a3d8272.0005b786	user_options->slow_candidates	0
TOP.6a3d8272.0005b786	user_options->show	0
TOP.6a3d8272.0005b786	user_options->speed_only	0
TOP.6a3d8272.0005b786	user_options->spin_damp	0
TOP.6a3d8272.0005b786	user_options->status	0
TOP.6a3d8272.0005b786	user_options->status_json	0
TOP.6a3d8272.0005b786	user_options->status_timer	10
TOP.6a3d8272.0005b786	user_options->stdout_flag	0
TOP.6a3d8272.0005b786	user_options->usage	0
TOP.6a3d8272.0005b786	user_options->username	0
TOP.6a3d8272.0005b786	user_options->veracrypt_pim_start	485
TOP.6a3d8272.0005b786	user_options->veracrypt_pim_stop	485
TOP.6a3d8272.0005b786	user_options->version	0
TOP.6a3d8272.0005b786	user_options->workload_profile	2
TOP.6a3d8272.0005b786	user_options->brain_client	0
TOP.6a3d8272.0005b786	user_options->brain_client_features	2
TOP.6a3d8272.0005b786	user_options->brain_server	0
TOP.6a3d8272.0005b786	user_options->brain_server_timer	300
TOP.6a3d8272.0005b786	user_options->brain_port	6863
TOP.6a3d8272.0005b786	user_options->brain_session	0
TOP.6a3d8272.0005b786	hashes->hashfile	C:/Users/homychok/Downloads/136640_1782415832.hc22000
TOP.6a3d8272.0005b786	hashes->hashlist_mode	5
TOP.6a3d8272.0005b786	hashes->hashlist_format	0
TOP.6a3d8272.0005b786	hashes->hashes_cnt	0
TOP.6a3d8272.0005b786	hashes->digests_cnt	4
TOP.6a3d8272.0005b786	hashes->digests_done_pot	0
TOP.6a3d8272.0005b786	hashes->digests_done_zero	0
TOP.6a3d8272.0005b786	hashes->digests_done	0
TOP.6a3d8272.0005b786	hashes->salts_cnt	3
TOP.6a3d8272.0005b786	hashes->salts_done	0
TOP.6a3d8272.0005b786	SUB.6a3d8273.0002c9c7	START
TOP.6a3d8272.0005b786	SUB.6a3d8273.0002c9c7	straight_ctx->dict	D:/hashcat-7.1.2/rockyou.txt
TOP.6a3d8272.0005b786	SUB.6a3d8273.0002c9c7	runtime_start	1782415987
TOP.6a3d8272.0005b786	SUB.6a3d8273.0002c9c7	runtime_stop	1782416030
TOP.6a3d8272.0005b786	SUB.6a3d8273.0002c9c7	hashes->digests_done_new	0
TOP.6a3d8272.0005b786	SUB.6a3d8273.0002c9c7	status-after-work	5
TOP.6a3d8272.0005b786	SUB.6a3d8273.0002c9c7	STOP
TOP.6a3d82f9.00073dd6	START
TOP.6a3d82f9.00073dd6	folder_config->cwd	D:\hashcat-7.1.2
TOP.6a3d82f9.00073dd6	folder_config->install_dir	.
TOP.6a3d82f9.00073dd6	folder_config->profile_dir	.
TOP.6a3d82f9.00073dd6	folder_config->session_dir	.
TOP.6a3d82f9.00073dd6	folder_config->shared_dir	.
TOP.6a3d82f9.00073dd6	user_options->encoding_from	utf-8
TOP.6a3d82f9.00073dd6	user_options->encoding_to	utf-8
TOP.6a3d82f9.00073dd6	user_options->rule_buf_l	:
TOP.6a3d82f9.00073dd6	user_options->rule_buf_r	:
TOP.6a3d82f9.00073dd6	user_options->session	hashcat
TOP.6a3d82f9.00073dd6	user_options->separator	:
TOP.6a3d82f9.00073dd6	user_options->limit	0
TOP.6a3d82f9.00073dd6	user_options->skip	0
TOP.6a3d82f9.00073dd6	user_options->attack_mode	0
TOP.6a3d82f9.00073dd6	user_options->backend_devices_virtmulti	1
TOP.6a3d82f9.00073dd6	user_options->backend_devices_virthost	1
TOP.6a3d82f9.00073dd6	user_options->backend_devices_keepfree	0
TOP.6a3d82f9.00073dd6	user_options->benchmark	0
TOP.6a3d82f9.00073dd6	user_options->benchmark_all	0
TOP.6a3d82f9.00073dd6	user_options->benchmark_max	99999
TOP.6a3d82f9.00073dd6	user_options->benchmark_min	0
TOP.6a3d82f9.00073dd6	user_options->bitmap_max	18
TOP.6a3d82f9.00073dd6	user_options->bitmap_min	16
TOP.6a3d82f9.00073dd6	user_options->debug_mode	0
TOP.6a3d82f9.00073dd6	user_options->dynamic_x	0
TOP.6a3d82f9.00073dd6	user_options->hash_info	0
TOP.6a3d82f9.00073dd6	user_options->force	0
TOP.6a3d82f9.00073dd6	user_options->hwmon	1
TOP.6a3d82f9.00073dd6	user_options->hwmon_temp_abort	90
TOP.6a3d82f9.00073dd6	user_options->hash_mode	22000
TOP.6a3d82f9.00073dd6	user_options->hex_charset	0
TOP.6a3d82f9.00073dd6	user_options->hex_salt	0
TOP.6a3d82f9.00073dd6	user_options->hex_wordlist	0
TOP.6a3d82f9.00073dd6	user_options->hook_threads	12
TOP.6a3d82f9.00073dd6	user_options->identify	0
TOP.6a3d82f9.00073dd6	user_options->increment	0
TOP.6a3d82f9.00073dd6	user_options->increment_max	256
TOP.6a3d82f9.00073dd6	user_options->increment_min	1
TOP.6a3d82f9.00073dd6	user_options->keep_guessing	0
TOP.6a3d82f9.00073dd6	user_options->kernel_accel	0
TOP.6a3d82f9.00073dd6	user_options->kernel_loops	0
TOP.6a3d82f9.00073dd6	user_options->kernel_threads	0
TOP.6a3d82f9.00073dd6	user_options->keyspace	0
TOP.6a3d82f9.00073dd6	user_options->total_candidates	0
TOP.6a3d82f9.00073dd6	user_options->left	0
TOP.6a3d82f9.00073dd6	user_options->logfile	1
TOP.6a3d82f9.00073dd6	user_options->loopback	0
TOP.6a3d82f9.00073dd6	user_options->machine_readable	0
TOP.6a3d82f9.00073dd6	user_options->markov_classic	0
TOP.6a3d82f9.00073dd6	user_options->markov	1
TOP.6a3d82f9.00073dd6	user_options->markov_inverse	0
TOP.6a3d82f9.00073dd6	user_options->markov_threshold	256
TOP.6a3d82f9.00073dd6	user_options->metal_compiler_runtime	120
TOP.6a3d82f9.00073dd6	user_options->multiply_accel	1
TOP.6a3d82f9.00073dd6	user_options->backend_info	0
TOP.6a3d82f9.00073dd6	user_options->backend_vector_width	0
TOP.6a3d82f9.00073dd6	user_options->optimized_kernel	0
TOP.6a3d82f9.00073dd6	user_options->outfile_autohex	1
TOP.6a3d82f9.00073dd6	user_options->outfile_check_timer	5
TOP.6a3d82f9.00073dd6	user_options->outfile_format	3
TOP.6a3d82f9.00073dd6	user_options->outfile_json	0
TOP.6a3d82f9.00073dd6	user_options->wordlist_autohex	1
TOP.6a3d82f9.00073dd6	user_options->potfile	1
TOP.6a3d82f9.00073dd6	user_options->progress_only	0
TOP.6a3d82f9.00073dd6	user_options->quiet	0
TOP.6a3d82f9.00073dd6	user_options->remove	0
TOP.6a3d82f9.00073dd6	user_options->remove_timer	60
TOP.6a3d82f9.00073dd6	user_options->restore	0
TOP.6a3d82f9.00073dd6	user_options->restore_enable	1
TOP.6a3d82f9.00073dd6	user_options->restore_timer	1
TOP.6a3d82f9.00073dd6	user_options->rp_files_cnt	0
TOP.6a3d82f9.00073dd6	user_options->rp_gen	0
TOP.6a3d82f9.00073dd6	user_options->rp_gen_func_max	4
TOP.6a3d82f9.00073dd6	user_options->rp_gen_func_min	1
TOP.6a3d82f9.00073dd6	user_options->rp_gen_seed	0
TOP.6a3d82f9.00073dd6	user_options->runtime	0
TOP.6a3d82f9.00073dd6	user_options->scrypt_tmto	0
TOP.6a3d82f9.00073dd6	user_options->segment_size	33554432
TOP.6a3d82f9.00073dd6	user_options->self_test	1
TOP.6a3d82f9.00073dd6	user_options->slow_candidates	0
TOP.6a3d82f9.00073dd6	user_options->show	0
TOP.6a3d82f9.00073dd6	user_options->speed_only	0
TOP.6a3d82f9.00073dd6	user_options->spin_damp	0
TOP.6a3d82f9.00073dd6	user_options->status	0
TOP.6a3d82f9.00073dd6	user_options->status_json	0
TOP.6a3d82f9.00073dd6	user_options->status_timer	10
